evaluation,split_id,repeat,fold,strategy,test_rows,mae,rmse,primary_fallback_percentage
repeated_random_cv,13,3,3.0,lot_config_median,488,15.64344262295082,21.57972257072616,0.0
repeated_random_cv,13,3,3.0,hierarchical_median,488,12.061475409836065,19.019080152206772,0.0
repeated_random_cv,13,3,3.0,model_based_hgb,488,9.121316614583112,14.615921955166833,
repeated_random_cv,14,3,4.0,global_median,488,16.62090163934426,24.35710250877454,0.0
repeated_random_cv,14,3,4.0,neighborhood_median,488,11.976434426229508,21.274058223072732,0.0
repeated_random_cv,14,3,4.0,lot_config_median,488,16.202868852459016,23.728225566286877,0.0
repeated_random_cv,14,3,4.0,hierarchical_median,488,11.070696721311476,20.366656996500794,0.20491803278688525
repeated_random_cv,14,3,4.0,model_based_hgb,488,8.640164019080746,15.40944037024749,
repeated_random_cv,15,3,5.0,global_median,488,17.87704918032787,26.243734615282502,0.0
repeated_random_cv,15,3,5.0,neighborhood_median,488,13.470286885245901,23.280200287150368,0.0
repeated_random_cv,15,3,5.0,lot_config_median,488,17.2827868852459,25.321943441847647,0.0
repeated_random_cv,15,3,5.0,hierarchical_median,488,12.563524590163935,22.115382970557537,0.4098360655737705
repeated_random_cv,15,3,5.0,model_based_hgb,488,8.289689209274925,15.793762904028448,
repeated_random_cv,16,4,1.0,global_median,488,16.776639344262296,22.72370575585524,0.0
repeated_random_cv,16,4,1.0,neighborhood_median,488,12.876024590163935,20.388227376939135,0.0
repeated_random_cv,16,4,1.0,lot_config_median,488,16.130122950819672,22.131464971919023,0.0
repeated_random_cv,16,4,1.0,hierarchical_median,488,11.967213114754099,19.206625607146997,0.6147540983606558
repeated_random_cv,16,4,1.0,model_based_hgb,488,8.29892978973414,13.166877835228828,
repeated_random_cv,17,4,2.0,global_median,488,16.78688524590164,23.198272264666045,0.0
repeated_random_cv,17,4,2.0,neighborhood_median,488,12.91905737704918,20.326951038574137,0.0
repeated_random_cv,17,4,2.0,lot_config_median,488,15.991803278688524,22.07011925510205,0.0
repeated_random_cv,17,4,2.0,hierarchical_median,488,12.068647540983607,19.190441716612167,0.20491803278688525
repeated_random_cv,17,4,2.0,model_based_hgb,488,8.478406908963937,13.502481856221586,
repeated_random_cv,18,4,3.0,global_median,488,16.596311475409838,22.06125042901701,0.0
repeated_random_cv,18,4,3.0,neighborhood_median,488,12.058401639344263,18.259836221950597,0.0
repeated_random_cv,18,4,3.0,lot_config_median,488,16.401639344262296,21.76184433480901,0.0
repeated_random_cv,18,4,3.0,hierarchical_median,488,11.603483606557377,17.74403905910792,0.6147540983606558
repeated_random_cv,18,4,3.0,model_based_hgb,488,8.550993395925442,14.030167956892164,
repeated_random_cv,19,4,4.0,global_median,488,15.739754098360656,21.52614689162926,0.0
repeated_random_cv,19,4,4.0,neighborhood_median,488,11.579918032786885,18.504623923694776,0.0
repeated_random_cv,19,4,4.0,lot_config_median,488,14.926229508196721,20.6779561091627,0.0
repeated_random_cv,19,4,4.0,hierarchical_median,488,10.530737704918034,17.40530586146499,1.0245901639344261
repeated_random_cv,19,4,4.0,model_based_hgb,488,7.835278407345968,13.364953911378144,
repeated_random_cv,20,4,5.0,global_median,488,17.309426229508198,27.045764190640604,0.0
repeated_random_cv,20,4,5.0,neighborhood_median,488,13.462090163934427,24.592113139958606,0.0
repeated_random_cv,20,4,5.0,lot_config_median,488,16.453893442622952,25.88442748189679,0.0
repeated_random_cv,20,4,5.0,hierarchical_median,488,12.449795081967213,23.524413983746513,0.4098360655737705
repeated_random_cv,20,4,5.0,model_based_hgb,488,8.87742830469339,17.891254718487172,
repeated_random_cv,21,5,1.0,global_median,488,17.639344262295083,24.268900020328925,0.0
repeated_random_cv,21,5,1.0,neighborhood_median,488,13.082991803278688,20.94867116956328,0.0
repeated_random_cv,21,5,1.0,lot_config_median,488,16.947745901639344,23.190840033845472,0.0
repeated_random_cv,21,5,1.0,hierarchical_median,488,12.23155737704918,20.015286166524547,0.819672131147541
repeated_random_cv,21,5,1.0,model_based_hgb,488,8.460055564321557,14.382826396707204,
repeated_random_cv,22,5,2.0,global_median,488,16.540983606557376,24.527084393634293,0.0
repeated_random_cv,22,5,2.0,neighborhood_median,488,12.364754098360656,21.67624578075136,0.0
repeated_random_cv,22,5,2.0,lot_config_median,488,15.85655737704918,23.78162260592182,0.0
repeated_random_cv,22,5,2.0,hierarchical_median,488,11.943647540983607,21.404728392132977,0.4098360655737705
repeated_random_cv,22,5,2.0,model_based_hgb,488,8.632256685674967,15.585742495393836,
repeated_random_cv,23,5,3.0,global_median,488,16.42622950819672,22.471293162464917,0.0
repeated_random_cv,23,5,3.0,neighborhood_median,488,12.005122950819672,19.305686434015357,0.0
repeated_random_cv,23,5,3.0,lot_config_median,488,16.40983606557377,22.450172513850298,0.0
repeated_random_cv,23,5,3.0,hierarchical_median,488,11.655737704918034,18.5861695010379,0.819672131147541
repeated_random_cv,23,5,3.0,model_based_hgb,488,7.8482788948398765,13.046162686286833,
repeated_random_cv,24,5,4.0,global_median,488,15.864754098360656,21.397199908736336,0.0
repeated_random_cv,24,5,4.0,neighborhood_median,488,11.878073770491802,18.343838582325844,0.0
repeated_random_cv,24,5,4.0,lot_config_median,488,14.895491803278688,20.24820372522858,0.0
repeated_random_cv,24,5,4.0,hierarchical_median,488,11.10655737704918,17.80575979752656,1.0245901639344261
repeated_random_cv,24,5,4.0,model_based_hgb,488,7.904170597380592,12.648730929332613,
repeated_random_cv,25,5,5.0,global_median,488,16.737704918032787,24.139536306954078,0.0
repeated_random_cv,25,5,5.0,neighborhood_median,488,13.376024590163935,21.95397336978688,0.0
repeated_random_cv,25,5,5.0,lot_config_median,488,15.742827868852459,22.988559610180445,0.0
repeated_random_cv,25,5,5.0,hierarchical_median,488,11.966188524590164,20.445110943093702,0.0
repeated_random_cv,25,5,5.0,model_based_hgb,488,8.72351079306317,15.339781483301127,
repeated_random_cv,26,6,1.0,global_median,488,17.66188524590164,25.648674589473845,0.0
repeated_random_cv,26,6,1.0,neighborhood_median,488,14.163934426229508,23.542601775518687,0.0
repeated_random_cv,26,6,1.0,lot_config_median,488,16.75922131147541,24.503397639952695,0.0
repeated_random_cv,26,6,1.0,hierarchical_median,488,12.933401639344263,22.368479451022587,0.20491803278688525
